Ref,Val,Package,PosX,PosY,Rot,Side
"BT2","2477","BAT_2477",92.600000,-112.500000,-90.000000,bottom
"C1","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",92.196020,-165.558784,90.000000,bottom
"C2","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",90.196020,-165.558784,90.000000,bottom
"C3","3.3pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",84.696020,-160.021284,0.000000,bottom
"C4","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",81.696020,-166.521284,0.000000,bottom
"C5","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",81.696020,-164.521284,0.000000,bottom
"D51","BAT54W-HG3-18","D_SOD-123",97.000000,-169.500000,0.000000,bottom
"D52","BAT54W-HG3-18","D_SOD-123",82.196020,-168.871284,0.000000,bottom
"J1","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",84.268000,-78.486000,-90.000000,bottom
"J3","Conn_01x03_Female","PinHeader_1x03_P2.54mm_Vertical",79.500000,-156.500000,0.000000,bottom
"L1","3.3uH","L_1008_2520Metric_Pad1.43x2.20mm_HandSolder",87.336020,-168.871284,180.000000,bottom
"Q1","2N7002H","SOT-23",90.550000,-154.875000,-90.000000,bottom
"Q2","DMP2012SN-7","SOT-23",84.500000,-154.937500,90.000000,bottom
"R1","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",98.500000,-172.500000,-90.000000,bottom
"R2","620k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",84.696020,-161.521284,0.000000,bottom
"R3","200k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",86.696020,-163.021284,0.000000,bottom
"R4","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",84.550000,-157.937500,0.000000,bottom
"R5","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",87.500000,-152.937500,90.000000,bottom
"R6","500","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",44.800000,-82.900000,180.000000,bottom
"R7","500","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",85.250000,-56.642000,0.000000,bottom
"R8","500","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",119.250000,-79.000000,0.000000,bottom
"R9","500","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",115.824000,-94.000000,0.000000,bottom
"SW1","SW_MEC_5G","SW_SPST_EVPBF",92.380000,-174.000000,180.000000,bottom
"U1","Pico","RPi_Pico_SMD_TH",106.345000,-110.900000,90.000000,bottom
"U2","TPS61040DDC","SOT-23-5",87.058520,-165.571284,0.000000,bottom
